# table=SPEC
# title=Car Spec
# rows=238
Code,PS,Nm,cc,W,H,WB,Track F/R
mmgon,175,170,1597,1690,1365,2440,1560/1460
hnsxn,280,300,2977,1810,1170,2530,1510/1530
hnsrn,280,300,2977,1810,1170,2530,1510/1530
hnssn,280,310,3179,1810,1160,2530,1510/1530
hnsnn,280,310,3179,1810,1160,2530,1510/1530
hpren,160,205,2156,1765,1290,2550,1525/1515
hpnen,200,223,2156,1750,1315,2585,1525/1515
hpnvn,220,225,2156,1750,1315,2585,1525/1515
hinsn,180,178,1797,1695,1370,2620,1475/1465
hcfnn,170,160,1595,1695,1390,2620,1475/1475
hcvnn,170,160,1595,1695,1375,2620,1475/1475
hdern,170,160,1595,1695,1255,2370,1475/1465
hdegn,130,149,1590,1695,1255,2370,1475/1465
hdesn,170,160,1595,1695,1255,2370,1475/1465
hcfon,170,160,1595,1695,1375,2620,1475/1465
hcrxn,160,155,1595,1675,1270,2300,1440/1445
hacsn,190,210,2156,1760,1410,2715,1515/1500
hacwn,190,210,2156,1780,1455,2715,1515/1500
acosn,230,300,654,1795,1305,2750,1520/1510
acoen,280,410,654,1795,1305,2750,1520/1510
altsn,170,183,1995,1695,1355,2605,1465/1465
amian,130,160,1839,1675,1235,2265,1405/1420
amisn,130,160,1839,1675,1235,2265,1405/1420
afo7n,265,300,654,1760,1230,2425,1460/1460
afb7n,265,300,654,1760,1230,2425,1460/1460
afx7n,265,300,654,1760,1230,2425,1460/1460
ssvxn,240,315,3318,1770,1300,2610,1500/1480
ssv4n,240,315,3318,1770,1300,2610,1500/1480
slgnn,250,315,1994,1695,1405,2630,1465/1460
slgwn,250,315,1994,1695,1490,2630,1465/1455
siprn,280,350,1994,1690,1405,2520,1470/1460
sipan,280,335,1994,1690,1405,2520,1470/1460
sipcn,240,310,1994,1690,1440,2520,1470/1460
sipzn,260,315,1994,1690,1405,2520,1465/1455
sipsn,260,315,1994,1690,1405,2520,1465/1455
sipwn,220,285,1994,1690,1440,2520,1465/1455
siptn,260,315,1994,1690,1440,2520,1465/1455
tsplr,600,700,2140,1920,1275,2550,1570/1555
nl33r,600,670,2568,1880,1300,2720,1550/1580
mgtlr,600,700,2972,1870,1285,2470,1640/1630
hnslr,600,650,2977,1810,1195,2510,1585/1575
afn7r,580,620,654,1750,1230,2425,1535/1505
sipxr,580,650,1994,1756,1405,2520,1540/1500
vgrfn,0,435,4997,1760,1180,2282,1460/1470
dvprn,400,435,7994,1924,1117,2444,1514/1538
tstlr,135,160,1331,1625,1400,2300,1400/1395
tlevr,165,165,1587,1695,1305,2465,1460/1440
ttrnr,165,165,1587,1695,1305,2465,1460/1440
texvr,170,195,1998,1740,1325,2535,1510/1490
tcelr,170,195,1998,1750,1305,2535,1510/1490
tm2vr,280,370,2491,1750,1390,2730,1485/1495
tm2sr,180,240,2491,1750,1390,2730,1485/1495
tchvr,280,385,2491,1755,1400,2730,1485/1490
tchsr,200,260,2491,1755,1400,2730,1485/1495
tsoor,280,370,2491,1790,1350,2690,1520/1520
tsoar,280,385,2491,1805,1350,2690,1520/1520
tmrlr,180,195,1998,1695,1235,2400,1470/1450
tmr2r,245,310,1998,1695,1235,2400,1470/1450
tsorr,225,290,2997,1810,1275,2550,1520/1525
tsonr,280,440,2997,1810,1275,2550,1520/1525
tsprr,225,290,2997,1810,1275,2550,1520/1525
tspnr,280,440,2997,1810,1275,2550,1520/1525
tspor,280,370,2491,1745,1300,2595,1470/1475
tlvor,130,152,1587,1625,1335,2400,1355/1345
ttror,130,152,1587,1625,1335,2400,1355/1345
nzxvr,230,278,2960,1800,1255,2450,1495/1535
nzx2r,280,396,2960,1800,1255,2450,1495/1535
nzx3r,230,278,2960,1790,1255,2570,1495/1535
nzxsr,280,396,2960,1790,1255,2570,1495/1535
nr32r,280,360,2568,1755,1340,2615,1480/1480
nm32r,215,270,1998,1695,1325,2615,1460/1460
ns32r,155,188,1998,1695,1325,2615,1460/1470
ns33r,190,235,2498,1720,1340,2720,1480/1470
nm33r,250,300,2498,1720,1340,2720,1480/1490
nr33r,280,375,2568,1780,1360,2720,1480/1490
nr34r,280,375,2568,1780,1360,2720,1480/1490
nq15r,160,192,1998,1730,1295,2525,1480/1470
ns15r,220,280,1998,1730,1295,2525,1480/1470
nq14r,160,192,1998,1730,1295,2525,1480/1470
ns14r,220,280,1998,1730,1295,2525,1480/1470
nq23r,140,182,1998,1690,1290,2475,1465/1460
ns23r,205,280,1998,1690,1290,2475,1465/1460
nq13r,135,162,1809,1690,1290,2475,1465/1460
ns13r,175,230,1809,1690,1290,2475,1465/1460
nprir,150,190,1998,1695,1400,2600,1465/1455
n180r,205,280,1998,1690,1290,2475,1465/1460
n18nr,205,280,1998,1695,1290,2475,1465/1460
n18sr,140,182,1998,1690,1290,2475,1465/1460
nplor,230,290,1998,1690,1400,2430,1440/1415
mgoor,225,280,2972,1840,1285,2470,1560/1580
mgotr,280,435,2972,1840,1285,2470,1560/1580
mgtor,225,280,2972,1840,1285,2470,1560/1580
mgttr,280,435,2972,1840,1285,2470,1560/1580
mgtmr,280,435,2972,1840,1285,2470,1560/1580
mgntr,225,280,2972,1840,1285,2470,1560/1580
mgagr,150,182,1834,1740,1420,2635,1510/1505
mgalr,280,370,2498,1740,1420,2635,1510/1505
meclr,230,295,1997,1745,1295,2510,1515/1505
mftrr,170,190,1998,1735,1300,2500,1475/1470
mftor,200,204,1998,1735,1300,2500,1490/1485
mftnr,200,204,1998,1735,1300,2500,1490/1485
mlnor,270,315,1997,1695,1420,2510,1465/1470
mmgrr,175,170,1597,1680,1370,2415,1450/1460
mmgor,175,170,1597,1690,1365,2440,1560/1460
hnsrr,280,300,2977,1810,1170,2530,1510/1530
hnsbr,280,310,3179,1810,1160,2530,1510/1530
hnssr,280,310,3179,1810,1160,2530,1510/1530
hnsnr,280,310,3179,1810,1160,2530,1510/1530
hprer,160,205,2156,1765,1290,2550,1525/1515
hpner,200,223,2156,1750,1315,2585,1525/1515
hpnvr,220,225,2156,1750,1315,2585,1525/1515
hinsr,180,178,1797,1695,1370,2620,1475/1465
hinrr,200,185,1797,1695,1355,2620,1480/1470
hcfnr,170,160,1595,1695,1390,2620,1475/1475
hcvnr,170,160,1595,1695,1375,2620,1475/1475
hdelr,130,141,1493,1695,1255,2370,1475/1465
hderr,170,160,1595,1695,1255,2370,1475/1465
hdegr,130,149,1590,1695,1255,2370,1475/1465
hdesr,170,160,1595,1695,1255,2370,1475/1465
hcvor,170,160,1595,1695,1350,2570,1475/1465
hcfor,170,160,1595,1695,1375,2620,1475/1465
hcrxr,160,155,1595,1675,1270,2300,1440/1445
hacsr,190,210,2156,1760,1410,2715,1515/1500
hacwr,190,210,2156,1780,1455,2715,1515/1500
acosr,230,300,654,1795,1305,2750,1520/1510
acoer,280,410,654,1795,1305,2750,1520/1510
altsr,170,183,1995,1695,1355,2605,1465/1465
amiar,130,160,1839,1675,1235,2265,1405/1420
amisr,130,160,1839,1675,1235,2265,1405/1420
afo7r,265,300,654,1760,1230,2425,1460/1460
afb7r,265,300,654,1760,1230,2425,1460/1460
afx7r,265,300,654,1760,1230,2425,1460/1460
ademr,100,130,1498,1670,1535,2390,1420/1400
ssvxr,240,315,3318,1770,1300,2610,1500/1480
ssv4r,240,315,3318,1770,1300,2610,1500/1480
slgbr,280,345,1994,1695,1405,2630,1470/1460
slgnr,250,315,1994,1695,1405,2630,1465/1460
slgwr,250,315,1994,1695,1490,2630,1465/1455
siprr,280,350,1994,1690,1405,2520,1470/1460
sipar,280,335,1994,1690,1405,2520,1470/1460
sipcr,240,310,1994,1690,1440,2520,1470/1460
sipdr,280,350,1994,1690,1440,2520,1470/1460
sipzr,260,315,1994,1690,1405,2520,1465/1455
sipsr,260,315,1994,1690,1405,2520,1465/1455
sipwr,220,285,1994,1690,1440,2520,1465/1455
siptr,260,315,1994,1690,1440,2520,1465/1455
